Date,District,Crop,Price,MonthNum,Season,Year
2023-02-16,Matale,Okra,220.0,2,Maha,2023
2023-02-23,Kandy,Beans,315.0,2,Maha,2023
2023-02-23,Kandy,Cabbage,60.0,2,Maha,2023
2023-02-23,Kandy,Carrots,150.0,2,Maha,2023
2023-02-23,Kandy,Leeks,170.0,2,Maha,2023
2023-02-23,Kandy,Okra,210.0,2,Maha,2023
2023-02-23,Matale,Beans,325.0,2,Maha,2023
2023-02-23,Matale,Cabbage,50.0,2,Maha,2023
2023-02-23,Matale,Carrots,145.0,2,Maha,2023
2023-02-23,Matale,Leeks,170.0,2,Maha,2023
2023-02-23,Matale,Okra,190.0,2,Maha,2023
2023-03-02,Kandy,Beans,220.0,3,Maha,2023
2023-03-02,Kandy,Cabbage,52.5,3,Maha,2023
2023-03-02,Kandy,Carrots,105.0,3,Maha,2023
2023-03-02,Kandy,Leeks,155.0,3,Maha,2023
2023-03-02,Kandy,Okra,215.0,3,Maha,2023
2023-03-02,Matale,Beans,210.0,3,Maha,2023
2023-03-02,Matale,Cabbage,45.0,3,Maha,2023
2023-03-02,Matale,Carrots,100.0,3,Maha,2023
2023-03-02,Matale,Leeks,155.0,3,Maha,2023
2023-03-02,Matale,Okra,165.0,3,Maha,2023
2023-03-09,Kandy,Beans,210.0,3,Maha,2023
2023-03-09,Kandy,Cabbage,50.0,3,Maha,2023
2023-03-09,Kandy,Carrots,105.0,3,Maha,2023
2023-03-09,Kandy,Leeks,155.0,3,Maha,2023
2023-03-09,Kandy,Okra,205.0,3,Maha,2023
2023-03-09,Matale,Beans,210.0,3,Maha,2023
2023-03-09,Matale,Cabbage,53.0,3,Maha,2023
2023-03-09,Matale,Carrots,105.0,3,Maha,2023
2023-03-09,Matale,Leeks,160.0,3,Maha,2023
2023-03-09,Matale,Okra,205.0,3,Maha,2023
2023-03-16,Kandy,Beans,210.0,3,Maha,2023
2023-03-16,Kandy,Cabbage,50.0,3,Maha,2023
2023-03-16,Kandy,Carrots,100.0,3,Maha,2023
2023-03-16,Kandy,Leeks,155.0,3,Maha,2023
2023-03-16,Kandy,Okra,190.0,3,Maha,2023
2023-03-16,Matale,Beans,180.0,3,Maha,2023
2023-03-16,Matale,Cabbage,55.0,3,Maha,2023
2023-03-16,Matale,Carrots,85.0,3,Maha,2023
2023-03-16,Matale,Leeks,150.0,3,Maha,2023
2023-03-16,Matale,Okra,160.0,3,Maha,2023
2023-03-23,Kandy,Beans,160.0,3,Maha,2023
2023-03-23,Kandy,Cabbage,55.0,3,Maha,2023
2023-03-23,Kandy,Carrots,95.0,3,Maha,2023
2023-03-23,Kandy,Leeks,155.0,3,Maha,2023
2023-03-23,Kandy,Okra,145.0,3,Maha,2023
